GDP per capita (current US$),Liechtenstein,49418.01552,165287.1868
GDP per capita (current US$),Lithuania,..,20381.85578
GDP per capita (current US$),Luxembourg,33465.47821,116905.3704
GDP per capita (current US$),"Macao SAR, China",9269.648637,37474.73459
GDP per capita (current US$),Madagascar,330.8435257,462.4042288
GDP per capita (current US$),Malawi,286.9165596,622.1845913
GDP per capita (current US$),Malaysia,2513.241395,10164.34443
GDP per capita (current US$),Maldives,955.9336667,7216.816371
GDP per capita (current US$),Mali,299.8216158,822.9061368
GDP per capita (current US$),Malta,7191.923603,29597.63616
GDP per capita (current US$),Marshall Islands,1704.258692,5545.600267
GDP per capita (current US$),Mauritania,751.1934824,1836.292411
GDP per capita (current US$),Mauritius,2506.184877,9011.042884
GDP per capita (current US$),Mexico,3196.920061,8894.89065
GDP per capita (current US$),"Micronesia, Fed. Sts.",1492.855187,3639.412699
GDP per capita (current US$),Moldova,..,4376.242493
GDP per capita (current US$),Monaco,81813.01979,182537.3874
GDP per capita (current US$),Mongolia,1184.762914,4041.174146
GDP per capita (current US$),Montenegro,..,7677.371321
GDP per capita (current US$),Morocco,1219.424438,3258.269043
GDP per capita (current US$),Mozambique,..,456.581929
GDP per capita (current US$),Myanmar,52.74855566,1479.613689
GDP per capita (current US$),Namibia,2037.910472,4252.04172
GDP per capita (current US$),Nauru,..,10124.70062
GDP per capita (current US$),Nepal,184.9236477,1139.189892
GDP per capita (current US$),Netherlands,21290.86038,52162.57012
GDP per capita (current US$),New Caledonia,14800.79125,34877.63563
GDP per capita (current US$),New Zealand,13663.02162,41760.59478
GDP per capita (current US$),Nicaragua,238.7650098,1876.607378
GDP per capita (current US$),Niger,419.6038954,564.8416623
GDP per capita (current US$),Nigeria,567.5179022,2074.613747
GDP per capita (current US$),North Macedonia,2299.044329,5965.450232
GDP per capita (current US$),Northern Mariana Islands,..,17302.92214
GDP per capita (current US$),Norway,28242.9814,68340.0181
GDP per capita (current US$),Oman,6475.41707,16707.62301
GDP per capita (current US$),Pakistan,346.6685155,1322.314785
GDP per capita (current US$),Palau,..,14349.31682
GDP per capita (current US$),Panama,2626.14328,13293.3332
GDP per capita (current US$),Papua New Guinea,833.0536633,2446.084687
GDP per capita (current US$),Paraguay,1431.8392,5353.348065
GDP per capita (current US$),Peru,1194.548315,6063.626923
GDP per capita (current US$),Philippines,820.4871803,3224.422811
GDP per capita (current US$),Poland,1731.209509,15816.8204
GDP per capita (current US$),Portugal,7884.617988,22242.40642
GDP per capita (current US$),Puerto Rico,8652.507492,31427.42911
GDP per capita (current US$),Qatar,16664.83143,52315.66008
GDP per capita (current US$),Romania,1648.48523,13047.45666
GDP per capita (current US$),Russian Federation,3494.062988,10194.44141
GDP per capita (current US$),Rwanda,348.3878303,773.7732609
GDP per capita (current US$),Samoa,747.7808483,4042.722752
GDP per capita (current US$),San Marino,..,45321.48922
GDP per capita (current US$),Sao Tome and Principe,..,2155.265868
GDP per capita (current US$),Saudi Arabia,7349.703435,20398.06099
GDP per capita (current US$),Senegal,980.7545621,1492.475903
GDP per capita (current US$),Serbia,..,7733.803469
